Designator,Mid X,Mid Y,Rotation,Layer
C10,70.678,-23.6245,180.0,top
C11,71.882,-20.5525,270.0,top
C12,69.088,-20.5525,90.0,top
C13,35.125,-89.875,0.0,top
C14,33.96,-5.2635,90.0,top
C15,52.0485,-44.196,0.0,top
C16,46.482,-47.2225,90.0,top
C17,61.9545,-33.274,180.0,top
C18,58.405,-51.637,270.0,top
C19,45.974,-56.9105,270.0,top
C2,37.23,-78.5,90.0,top
C20,55.88,-55.0965,270.0,top
C201,25.405,-19.618,270.0,top
C202,75.75,-27.9725,0.0,top
C203,74.75,-30.2725,0.0,top
C204,76.454,-22.9285,90.0,top
C205,73.4,-33.0225,90.0,top
C206,51.562,-54.676,270.0,top
C207,59.7,-10.25,90.0,top
C208,80.33,-12.192,180.0,top
C209,72.685,-85.165,180.0,top
C21,56.881,-45.543,180.0,top
C210,87.75,-85.65,90.0,top
C211,90.917,-89.233,0.0,top
C212,71.765,-90.255,180.0,top
C22,56.1125,-33.274,0.0,top
C23,45.974,-52.8535,90.0,top
C24,53.34,-28.9345,90.0,top
C25,57.15,-26.4375,270.0,top
C26,64.6625,-25.9725,180.0,top
C27,75.1625,-25.9105,180.0,top
C28,51.277,-22.685,90.0,top
C29,60.4305,-25.908,0.0,top
C3,23.23,-83.02,90.0,top
C30,71.4,-32.51,270.0,top
C31,95.2285,-17.526,0.0,top
C32,90.1485,-17.526,0.0,top
C33,56.0832,-14.7105,90.0,top
C34,95.25,-29.9505,270.0,top
C35,83.82,-13.2295,90.0,top
C36,69.2395,-96.7635,90.0,top
C37,13.881,-2.303,270.0,top
C38,87.541,-2.265,270.0,top
C39,2.451,-58.925,0.0,top
C4,23.23,-85.48,270.0,top
C40,97.701,-58.729,180.0,top
C41,60.0955,-88.8515,180.0,top
C42,61.379,-18.089,0.0,top
C43,64.935,-22.877,90.0,top
C44,26.23,-86.5,180.0,top
C45,40.0,-84.2,0.0,top
C46,32.4,-78.6,90.0,top
C47,29.73,-90.0,270.0,top
C48,42.2,-90.2,270.0,top
C49,27.23,-82.4,180.0,top
C50,32.455,-89.675,180.0,top
C51,37.6075,-90.3,270.0,top
C52,52.95,-92.05,270.0,top
C6,39.725,-87.275,270.0,top
C7,35.1,-91.3,0.0,top
C8,34.9,-78.45,90.0,top
C9,38.7325,-92.625,270.0,top
D201,72.39,-2.8725,270.0,top
D202,67.945,-2.8725,270.0,top
D203,30.978,-5.1635,90.0,top
D302,89.689,-81.989,0.0,top
J10,69.088,-13.97,180.0,top
J11,74.168,-13.97,0.0,top
J12,66.548,-13.97,0.0,top
J13,60.96,-23.368,90.0,top
J14,60.96,-20.828,90.0,top
J15,45.212,-4.064,180.0,top
J16,42.672,-4.064,180.0,top
J17,60.96,-29.464,90.0,top
J20,76.708,-13.97,0.0,top
J201,47.8,-66.805,90.0,top
J202,19.558,-2.794,270.0,top
J21,64.008,-13.97,0.0,top
J301,94.644,-82.319,90.0,top
J4,27.0,-96.75,0.0,top
J5,71.628,-13.97,180.0,top
L1,41.6,-87.0,270.0,top
Q201,72.39,-6.7375,270.0,top
Q202,67.945,-6.7375,270.0,top
R1,62.7165,-10.16,180.0,top
R11,74.168,-22.884,270.0,top
R12,67.056,-22.884,270.0,top
R13,37.084,-7.98,270.0,top
R14,39.116,-7.98,270.0,top
R15,38.6075,-90.2,270.0,top
R16,47.285,-89.5,270.0,top
R2,66.5265,-10.16,180.0,top
R201,50.292,-39.73,90.0,top
R202,53.594,-54.97,90.0,top
R203,46.228,-17.166,90.0,top
R204,53.594,-36.174,90.0,top
R205,54.102,-17.124,270.0,top
R206,55.626,-36.174,90.0,top
R207,60.96,-37.444,90.0,top
R208,62.992,-37.444,90.0,top
R209,54.186,-23.93,0.0,top
R210,54.186,-21.898,0.0,top
R211,92.858,-15.494,180.0,top
R212,89.26,-15.494,180.0,top
R213,93.472,-12.848,270.0,top
R214,90.022,-12.192,180.0,top
R215,95.906,-34.29,0.0,top
R216,91.292,-36.322,0.0,top
R217,43.6,-84.8,0.0,top
R218,45.8,-85.4,0.0,top
R219,87.7,-82.8,180.0,top
R220,87.7,-81.25,180.0,top
R221,65.571,-73.315,180.0,top
R222,65.571,-74.487,180.0,top
R223,65.571,-71.849,180.0,top
R224,65.571,-70.735,180.0,top
R225,65.571,-69.367,180.0,top
R226,65.571,-68.253,180.0,top
R227,65.571,-66.885,180.0,top
R228,65.571,-65.771,180.0,top
R3,70.3365,-10.16,180.0,top
R302,89.779,-84.104,270.0,top
R303,89.179,-80.294,180.0,top
R4,43.688,-56.9175,270.0,top
R41,79.248,-9.1225,90.0,top
R42,77.216,-9.1225,270.0,top
R43,74.1895,-10.16,180.0,top
R5,43.688,-52.8535,90.0,top
R7,25.73,-85.0,180.0,top
R8,14.59,-89.0,90.0,top
SW1,45.4625,-95.2,90.0,top
SW2,17.3,-95.35,90.0,top
U1,48.6282,-28.6982,180.0,top
U201,80.6045,-14.982,0.0,top
U202,60.0305,-14.49,0.0,top
U203,52.5525,-49.5385,270.0,top
U204,81.2015,-97.9205,270.0,top
U205,80.705,-84.735,90.0,top
U206,90.019,-21.2278,0.0,top
U207,70.6735,-27.9805,270.0,top
U208,50.3793,-18.542,180.0,top
U209,90.0014,-26.8142,0.0,top
U210,89.954,-32.3732,0.0,top
U211,61.3455,-94.4405,90.0,top
U213,46.8,-78.6,90.0,top
U4,33.875,-84.445,270.0,top
Y1,19.73,-83.9,270.0,top
