Designator,Mid X,Mid Y,Rotation,Layer
C10,70.678,-23.6245,180.0,top
C11,71.882,-20.5525,270.0,top
C12,69.088,-20.5525,90.0,top
C13,23.695,-89.113,0.0,top
C14,33.96,-5.2635,90.0,top
C15,52.0485,-44.196,0.0,top
C16,46.482,-47.2225,90.0,top
C17,61.9545,-33.274,180.0,top
C18,58.405,-51.637,270.0,top
C2,25.8,-77.738,90.0,top
C20,55.88,-55.0965,270.0,top
C201,25.405,-19.618,270.0,top
C202,75.75,-27.9725,0.0,top
C203,74.75,-30.2725,0.0,top
C204,76.454,-22.9285,90.0,top
C205,73.914,-33.0225,90.0,top
C206,51.562,-54.676,270.0,top
C207,59.7,-10.25,90.0,top
C208,82.87,-12.192,180.0,top
C209,72.832,-81.788,180.0,top
C21,56.881,-45.543,180.0,top
C210,87.75,-80.73,90.0,top
C211,90.917,-84.313,0.0,top
C212,62.23,-93.516,90.0,top
C213,59.69,-93.516,90.0,top
C214,57.15,-93.516,90.0,top
C215,60.75,-97.116,180.0,top
C216,62.974,-74.93,0.0,top
C217,65.024,-69.314,90.0,top
C218,65.024,-71.402,270.0,top
C219,65.024,-75.664,90.0,top
C22,56.1125,-33.274,0.0,top
C220,65.024,-79.784,270.0,top
C221,63.01,-66.548,0.0,top
C223,49.512,-83.058,180.0,top
C23,45.974,-52.8535,90.0,top
C24,53.34,-28.9345,90.0,top
C25,57.15,-26.4375,270.0,top
C26,64.6625,-25.9725,180.0,top
C27,75.1625,-25.9105,180.0,top
C28,51.277,-22.685,90.0,top
C29,60.4305,-25.908,0.0,top
C3,11.8,-82.258,90.0,top
C30,71.4,-32.51,270.0,top
C31,95.4405,-23.876,0.0,top
C32,90.3605,-23.876,0.0,top
C33,56.0832,-14.7105,90.0,top
C34,95.462,-36.3005,270.0,top
C35,86.36,-13.2295,90.0,top
C37,13.881,-2.303,270.0,top
C38,87.541,-2.265,270.0,top
C4,11.8,-84.718,270.0,top
C41,43.942,-87.188,90.0,top
C42,61.379,-18.089,0.0,top
C43,64.935,-22.877,90.0,top
C44,14.8,-85.738,180.0,top
C45,28.57,-83.438,0.0,top
C46,20.97,-77.838,90.0,top
C47,18.669,-89.019,270.0,top
C48,30.77,-89.438,270.0,top
C49,15.8,-81.638,180.0,top
C50,21.59,-89.273,270.0,top
C51,26.1775,-89.538,270.0,top
C6,28.295,-86.513,270.0,top
C7,23.67,-90.538,0.0,top
C8,23.47,-77.688,90.0,top
C9,27.3025,-91.863,270.0,top
D201,72.39,-2.8725,270.0,top
D202,67.945,-2.8725,270.0,top
D203,30.978,-5.1635,90.0,top
D204,38.5295,-53.213,0.0,top
D302,89.689,-77.069,0.0,top
J10,69.088,-13.97,180.0,top
J11,76.708,-13.97,0.0,top
J12,66.548,-13.97,0.0,top
J13,60.96,-23.368,90.0,top
J14,60.96,-20.828,90.0,top
J15,50.292,-4.064,180.0,top
J16,42.672,-4.064,180.0,top
J17,60.96,-29.464,90.0,top
J2,74.168,-13.97,180.0,top
J20,79.248,-13.97,0.0,top
J201,36.37,-66.043,90.0,top
J202,19.558,-2.794,270.0,top
J21,64.008,-13.97,0.0,top
J30,50.292,-12.446,0.0,top
J301,94.644,-77.399,90.0,top
J31,23.622,-96.774,0.0,top
J4,15.57,-95.988,0.0,top
J42,19.05,-66.04,180.0,top
J43,16.51,-66.04,180.0,top
J44,13.97,-66.04,180.0,top
J45,11.43,-66.04,180.0,top
J46,8.89,-66.04,180.0,top
J5,71.628,-13.97,180.0,top
J50,45.212,-4.064,0.0,top
J51,47.752,-4.064,0.0,top
K201,32.464,-37.328,180.0,top
L1,30.17,-86.238,270.0,top
Q201,72.39,-6.7375,270.0,top
Q202,67.945,-6.7375,270.0,top
R1,62.7165,-10.16,180.0,top
R11,74.168,-22.884,270.0,top
R12,67.056,-22.884,270.0,top
R13,37.084,-7.98,270.0,top
R14,39.116,-7.98,270.0,top
R15,27.1775,-89.438,270.0,top
R16,35.855,-88.879,270.0,top
R2,66.5265,-10.16,180.0,top
R201,50.292,-39.73,90.0,top
R202,53.594,-54.97,90.0,top
R204,53.594,-36.174,90.0,top
R206,55.626,-36.174,90.0,top
R207,60.96,-37.444,90.0,top
R208,62.992,-37.444,90.0,top
R209,54.186,-23.93,0.0,top
R210,54.186,-21.898,0.0,top
R211,37.846,-92.35,270.0,top
