Designator,Mid X,Mid Y,Rotation,Layer
R233,28.194,-95.356,90.0,top
R234,63.508,-79.248,180.0,top
R235,80.285,-1.524,180.0,top
R236,83.714,-1.524,180.0,top
R237,63.508,-76.2,180.0,top
R238,63.492,-70.866,180.0,top
R239,87.143,-1.524,180.0,top
R240,10.871,-53.213,0.0,top
R241,14.342,-53.213,180.0,top
R242,14.372,-46.355,180.0,top
R243,10.943,-46.355,0.0,top
R3,70.3365,-10.16,180.0,top
R301,23.9732,-51.2572,180.0,top
R302,89.779,-79.184,270.0,top
R303,89.179,-75.374,180.0,top
R304,22.9152,-58.7248,180.0,top
R33,46.228,-17.166,90.0,top
R34,48.006,-13.61,90.0,top
R4,43.561,-56.875,270.0,top
R41,86.5925,-9.906,180.0,top
R42,82.7825,-9.906,180.0,top
R43,74.1895,-10.16,180.0,top
R5,43.688,-52.8535,90.0,top
R6,52.451,-40.111,270.0,top
R7,14.91,-84.074,180.0,top
R8,7.26,-79.248,180.0,top
R9,58.928,-40.111,270.0,top
SW1,34.0325,-94.438,90.0,top
SW2,7.015,-74.374,270.0,top
U1,48.6282,-28.6982,180.0,top
U201,83.1445,-14.982,0.0,top
U202,59.6512,-14.4931,90.0,top
U203,52.5525,-49.5385,270.0,top
U204,74.93,-97.282,270.0,top
U205,80.705,-79.815,90.0,top
U206,90.231,-27.5778,0.0,top
U207,70.6735,-27.9805,270.0,top
U208,50.3793,-18.542,180.0,top
U209,90.2134,-33.1642,0.0,top
U210,90.166,-38.7232,0.0,top
U211,43.688,-93.574,90.0,top
U212,57.4645,-68.935,270.0,top
U213,35.37,-77.838,90.0,top
U214,57.4725,-77.205,270.0,top
U215,51.4305,-93.574,90.0,top
U216,50.9325,-72.832,180.0,top
U217,17.09,-57.277,0.0,top
U218,17.1454,-49.657,0.0,top
U4,22.445,-83.683,270.0,top
Y1,11.342,-83.228,270.0,top
